,CustomerID,Gender,SeniorCitizen,Partner,Dependents,Region,InternetService,OnlineSecurity,TechSupport,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TenureMonths,MonthlyCharges,TotalCharges,AccountStartDate,AccountEndDate,Churn,ChurnProbability,ChurnReason
0,100000,1,0,0,1,3,0,1,1,1,1,0,1,1,2,23,74.2,1705.97,6264,4271,0,0.378,5
1,100001,0,0,0,1,1,1,1,1,0,0,1,1,0,1,52,90.27,4644.31,4621,4270,1,0.378,0
2,100002,1,1,0,0,3,2,0,0,0,0,0,0,1,2,27,16.62,491.96,9737,4270,1,0.891,4
3,100003,1,0,1,0,1,1,1,1,0,0,0,0,0,3,10,77.3,814.32,6359,4231,1,0.55,4
4,100004,1,1,1,0,5,0,0,0,0,0,0,0,1,3,61,46.59,2845.61,5126,4270,1,0.818,1
5,100005,0,0,1,1,4,1,0,1,0,0,0,0,0,0,31,80.1,2489.35,4595,2191,1,0.769,0
6,100006,1,0,1,1,7,1,0,1,0,1,1,0,1,0,31,85.92,2670.47,9667,4270,1,0.75,1
7,100007,1,0,0,1,6,1,0,1,1,1,0,0,0,0,50,91.54,4554.27,3807,1392,1,0.769,4
8,100008,1,0,0,1,4,0,0,0,0,1,0,1,1,0,48,53.51,2581.96,447,1948,1,0.525,2
9,100009,0,0,1,1,4,1,0,0,0,0,0,1,0,0,49,63.72,3102.52,9423,4270,1,0.55,0
10,100010,1,0,1,0,3,1,0,0,1,1,1,2,1,2,58,83.15,4776.08,3390,3698,1,0.599,1
11,100011,1,0,1,0,2,1,0,0,0,0,0,0,1,1,12,66.51,796.65,6418,4270,1,0.786,4
12,100012,1,0,0,0,6,2,0,0,0,0,0,1,1,3,58,24.69,1428.04,9108,3840,1,0.525,3
13,100013,1,0,0,1,4,0,0,1,1,0,0,2,1,0,41,60.63,2527.34,2610,4271,0,0.198,5
14,100014,0,0,0,1,2,0,1,0,1,1,1,0,1,3,18,72.06,1280.69,8548,3591,1,0.69,4
15,100015,1,0,0,0,7,1,0,0,0,1,0,0,0,1,42,73.28,3072.47,9140,4271,0,0.802,5
16,100016,0,0,0,0,2,0,0,0,0,1,1,2,1,3,58,56.08,3243.88,3162,1599,1,0.332,0
17,100017,0,0,0,0,1,0,0,0,0,0,0,0,1,2,31,43.17,1323.69,5221,4270,1,0.87,3
18,100018,0,0,1,0,9,0,0,0,1,0,0,0,1,1,34,51.08,1715.11,1265,4271,0,0.786,5
19,100019,1,1,0,0,5,1,0,0,0,0,0,0,1,2,6,65.73,377.2,7639,4270,1,0.891,2
20,100020,0,0,1,1,9,2,0,0,0,0,0,0,1,3,21,19.99,425.9,8438,4271,0,0.786,5
21,100021,1,0,0,1,5,0,1,1,1,0,1,1,1,2,46,74.67,3414.09,3298,4271,0,0.378,5
22,100022,0,1,1,0,1,0,0,1,0,1,0,0,0,2,25,60.51,1569.8,4858,2937,1,0.818,4
23,100023,0,0,0,0,4,0,0,0,0,1,0,0,1,2,57,48.73,2773.87,4040,4270,1,0.87,2
24,100024,0,1,1,1,8,1,1,1,0,1,1,0,0,1,71,93.36,6688.85,7060,3634,1,0.711,4
25,100025,0,0,0,0,6,1,0,0,0,0,1,0,0,2,45,73.91,3311.14,1219,1777,1,0.881,1
26,100026,0,0,1,0,1,0,1,1,1,0,1,1,0,2,4,79.06,271.93,4263,4271,0,0.599,5
27,100027,0,0,0,0,8,1,0,0,0,1,0,0,1,0,37,73.39,2728.15,3580,2815,1,0.786,3
28,100028,0,0,0,1,6,0,0,1,0,1,0,2,0,1,27,58.36,1560.05,1595,566,1,0.214,4
29,100029,0,0,1,1,6,2,0,0,0,0,0,1,1,1,38,23.17,859.07,8952,4270,1,0.525,2
30,100030,1,0,0,0,7,2,0,0,0,0,0,0,1,0,3,20.22,18.99,6680,2222,1,0.891,4
31,100031,1,0,0,0,1,2,0,0,0,0,0,0,0,0,59,22.26,1305.5,3319,1015,1,0.802,3
32,100032,0,0,1,0,9,0,0,0,0,0,0,2,1,0,53,45.37,2437.08,2141,2981,1,0.332,3
33,100033,0,0,0,0,4,1,0,1,1,1,0,1,0,1,4,89.32,361.68,4356,4271,0,0.69,5
34,100034,0,0,0,0,7,0,0,0,0,0,0,0,1,2,6,47.47,281.84,7343,4271,0,0.87,5
35,100035,1,0,0,0,1,1,0,1,0,0,1,0,1,2,47,77.26,3623.86,1199,852,1,0.769,1
36,100036,0,0,1,1,2,0,1,0,1,1,1,0,0,2,40,74.61,3020.57,565,430,1,0.818,4
37,100037,1,1,0,0,4,1,1,1,0,1,0,1,1,0,19,89.42,1693.74,9392,4270,1,0.401,4
38,100038,1,0,0,0,2,1,0,1,0,0,0,0,1,2,43,73.72,3146.63,2878,2567,1,0.769,4
39,100039,1,1,1,0,5,1,1,1,1,1,1,1,1,2,39,103.01,4011.32,5639,3324,1,0.55,3
40,100040,1,0,0,0,7,1,1,0,0,1,1,0,1,1,64,88.48,5665.96,9115,4270,1,0.786,0
41,100041,1,0,1,0,5,1,0,0,1,1,0,0,1,2,10,75.31,740.13,2856,676,1,0.87,0
