CustomerID,Gender,SeniorCitizen,Partner,Dependents,Region,InternetService,OnlineSecurity,TechSupport,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TenureMonths,MonthlyCharges,TotalCharges,AccountStartDate,AccountEndDate,Churn,ChurnProbability,ChurnReason
100000,Male,0,No,Yes,Chennai,DSL,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,23,74.2,1705.97,2023-05-13 17:59:02,,No,0.378,
100001,Female,0,No,Yes,Bengaluru North,Fiber optic,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),52,90.27,4644.31,2022-03-29 03:40:24,2026-01-13 00:00:00,Yes,0.378,Competitor offer
100002,Male,1,No,No,Chennai,None,No,No,No,No,No,Month-to-month,Yes,Electronic check,27,16.62,491.96,2025-10-25 15:11:53,2026-01-13 00:00:00,Yes,0.891,Service issues
100003,Male,0,Yes,No,Bengaluru North,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,10,77.3,814.32,2023-06-03 21:51:03,2025-12-27 21:51:03,Yes,0.55,Service issues
100004,Male,1,Yes,No,Hyderabad,DSL,No,No,No,No,No,Month-to-month,Yes,Mailed check,61,46.59,2845.61,2022-08-10 05:42:51,2026-01-13 00:00:00,Yes,0.818,Payment problems
100005,Female,0,Yes,Yes,Delhi,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),31,80.1,2489.35,2022-03-23 01:40:46,2023-09-17 01:40:46,Yes,0.769,Competitor offer
100006,Male,0,Yes,Yes,Kolkata,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),31,85.92,2670.47,2025-10-08 16:45:52,2026-01-13 00:00:00,Yes,0.75,Payment problems
100007,Male,0,No,Yes,Jaipur,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),50,91.54,4554.27,2021-08-27 20:49:23,2022-10-03 20:49:23,Yes,0.769,Service issues
100008,Male,0,No,Yes,Delhi,DSL,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),48,53.51,2581.96,2019-04-28 20:31:46,2023-06-05 20:31:46,Yes,0.525,Price too high
100009,Female,0,Yes,Yes,Delhi,Fiber optic,No,No,No,No,No,One year,No,Bank transfer (automatic),49,63.72,3102.52,2025-08-09 19:54:02,2026-01-13 00:00:00,Yes,0.55,Competitor offer
100010,Male,0,Yes,No,Chennai,Fiber optic,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,58,83.15,4776.08,2021-05-09 05:21:59,2025-05-26 05:21:59,Yes,0.599,Payment problems
100011,Male,0,Yes,No,Bengaluru South,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),12,66.51,796.65,2023-06-17 11:31:08,2026-01-13 00:00:00,Yes,0.786,Service issues
100012,Male,0,No,No,Jaipur,None,No,No,No,No,No,One year,Yes,Mailed check,58,24.69,1428.04,2025-05-11 12:20:45,2025-07-27 12:20:45,Yes,0.525,Relocation
100013,Male,0,No,Yes,Delhi,DSL,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),41,60.63,2527.34,2020-10-19 07:02:24,,No,0.198,
100014,Female,0,No,Yes,Bengaluru South,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,18,72.06,1280.69,2024-12-23 11:01:55,2025-04-08 11:01:55,Yes,0.69,Service issues
100015,Male,0,No,No,Kolkata,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),42,73.28,3072.47,2025-05-20 13:12:49,,No,0.802,
100016,Female,0,No,No,Bengaluru South,DSL,No,No,No,Yes,Yes,Two year,Yes,Mailed check,58,56.08,3243.88,2021-03-12 23:56:49,2023-01-06 23:56:49,Yes,0.332,Competitor offer
